Customer ID,Age,Region,Subscription,Tenure,Monthly Revenue,Total Revenue,Usage,Sessions,Support Tickets,Payment Method,Churn
C00375,55,North,Plus,64,91.17,5834.69,21.9,13,0,Card,No
C00376,27,West,Premium,7,112.11,784.8,57.8,10,1,Bank,No
C00377,70,East,Plus,54,98.77,5333.75,49.3,16,4,Bank,Yes
C00378,36,North,Plus,54,25.57,1380.66,33.9,14,2,Wallet,Yes
C00379,63,West,Basic,28,65.38,1830.65,71.1,10,2,Card,No
C00380,36,West,Plus,19,88.46,1680.65,37.1,9,1,Card,No
C00381,63,North,Basic,1,80.13,80.13,45.6,12,0,Wallet,Yes
C00382,43,North,Basic,68,96.94,6591.94,49.8,12,1,Wallet,Yes
C00383,21,South,Basic,69,104.73,7226.66,33.8,15,3,Card,No
C00384,28,East,Basic,18,100.21,1803.8,53.5,10,1,Card,No
C00385,56,East,Basic,3,79.64,238.93,35.4,7,0,Bank,No
C00386,29,South,Plus,9,38.84,349.57,37.6,9,2,Wallet,No
C00387,33,East,Premium,5,73.61,368.06,69.5,12,2,Card,No
C00388,48,North,Plus,60,95.41,5724.55,26.3,19,0,Card,No
C00389,32,East,Plus,65,57.74,3753.02,1.6,11,2,Wallet,No
C00390,25,West,Plus,12,100.78,1209.38,74.0,8,3,Wallet,Yes
C00391,53,East,Basic,54,107.71,5816.33,90.9,17,0,Wallet,No
C00392,57,South,Plus,13,88.17,1146.23,37.7,10,1,Wallet,No
C00393,59,South,Plus,27,20.0,540.0,10.1,12,2,Wallet,No
C00394,71,West,Basic,44,53.05,2334.1,39.4,10,3,Card,No
C00395,25,North,Basic,52,132.15,6872.05,39.8,13,4,Card,Yes
C00396,42,South,Premium,63,71.34,4494.2,41.6,9,1,Card,No
C00397,31,North,Plus,4,35.4,141.59,25.0,8,0,Card,No
C00398,69,West,Plus,15,115.88,1738.22,55.4,14,1,Wallet,No
C00399,48,South,Plus,21,85.33,1792.01,54.4,5,1,Bank,No
C00400,23,West,Basic,23,112.62,2590.34,18.1,15,2,Card,No
C00401,57,East,Plus,72,91.92,6618.53,57.6,15,2,Card,No
C00402,20,East,Basic,56,96.46,5401.98,81.9,14,0,Card,No
C00403,33,East,Basic,24,94.08,2257.81,48.1,15,5,Bank,No
C00404,59,North,Plus,70,102.44,7170.6,38.9,9,3,Bank,No
C00405,46,East,Basic,36,141.94,5109.69,42.4,9,2,Card,No
C00406,61,East,Plus,37,109.28,4043.18,56.1,14,3,Wallet,No
C00407,50,West,Basic,32,45.49,1455.73,13.8,8,1,Card,Yes
C00408,66,East,Plus,11,96.17,1057.83,48.0,9,1,Bank,No
C00409,50,West,Plus,68,113.54,7720.52,38.0,10,2,Bank,No
C00410,21,West,Plus,2,115.07,230.14,78.3,13,0,Bank,No
C00411,22,East,Plus,13,74.33,966.35,41.9,6,2,Wallet,No
C00412,62,South,Premium,17,114.12,1940.1,75.0,17,0,Wallet,No
C00413,20,North,Plus,21,108.19,2272.06,25.1,11,2,Card,No
C00414,39,South,Plus,10,149.31,1493.13,55.6,9,2,Bank,Yes
C00415,18,West,Plus,2,66.25,132.5,50.7,9,1,Card,Yes
C00416,35,North,Basic,49,72.31,3543.43,29.4,8,3,Bank,No
C00417,51,South,Basic,70,77.35,5414.29,48.2,10,2,Bank,No
C00418,27,East,Basic,9,72.74,654.7,66.8,7,0,Bank,No
C00419,44,North,Basic,22,62.75,1380.49,39.2,16,0,Card,No
C00420,74,West,Basic,37,20.0,740.0,14.5,10,4,Card,No
C00421,22,East,Basic,67,74.13,4966.88,44.7,9,1,Card,No
C00422,21,North,Plus,50,94.23,4711.7,28.8,12,1,Card,No
C00423,33,North,Basic,56,72.67,4069.49,38.8,13,2,Bank,No
C00424,65,East,Premium,42,133.38,5602.15,43.5,14,1,Wallet,No
C00425,41,West,Basic,31,85.33,2645.37,14.3,8,3,Card,No
C00426,54,West,Plus,15,117.28,1759.14,15.9,11,0,Card,No
C00427,19,West,Basic,63,91.54,5766.74,53.7,14,0,Bank,No
C00428,59,North,Plus,58,105.66,6128.29,35.6,11,0,Wallet,No
C00429,21,East,Basic,2,91.98,183.96,1.0,12,0,Card,No
C00430,58,North,Plus,52,119.22,6199.42,59.1,14,0,Card,No
C00431,26,North,Basic,7,86.4,604.79,49.9,10,1,Bank,Yes
C00432,66,East,Premium,54,97.4,5259.76,32.2,12,0,Bank,No
C00433,34,South,Basic,60,94.16,5649.5,21.3,11,3,Wallet,Yes
C00434,28,East,Plus,10,77.79,777.93,60.0,13,3,Card,No
C00435,37,West,Basic,32,95.12,3043.99,51.3,13,1,Card,No
C00436,18,North,Plus,9,140.86,1267.74,87.9,10,1,Bank,No
C00437,27,East,Plus,41,78.24,3207.84,52.6,1,1,Bank,Yes
C00438,52,West,Basic,67,95.49,6397.6,52.0,16,0,Wallet,No
C00439,35,South,Basic,6,116.44,698.67,42.0,12,0,Bank,No
C00440,38,East,Basic,29,113.51,3291.68,59.7,15,2,Bank,Yes
C00441,64,South,Basic,71,85.29,6055.8,56.3,8,1,Card,No
C00442,25,West,Premium,22,25.42,559.14,67.5,11,1,Card,No
C00443,40,North,Basic,10,97.92,979.18,35.6,16,0,Wallet,No
C00444,28,West,Basic,36,29.51,1062.47,37.2,11,2,Card,No
C00445,45,West,Premium,37,121.75,4504.69,36.4,9,1,Bank,No
C00446,36,West,Basic,48,89.24,4283.37,59.2,12,2,Wallet,No
C00447,20,South,Basic,23,109.99,2529.81,72.0,5,1,Wallet,Yes
C00448,22,East,Plus,69,62.45,4308.86,36.7,8,3,Card,No
C00449,66,South,Premium,38,46.19,1755.12,37.4,8,1,Card,Yes
C00450,21,South,Plus,21,91.52,1921.9,50.7,12,0,Wallet,No
C00451,62,West,Plus,70,84.16,5891.19,40.6,10,0,Wallet,No
C00452,70,East,Premium,67,72.71,4871.67,62.1,12,2,Card,No
C00453,44,East,Basic,36,87.12,3136.2,4.5,10,3,Bank,Yes
C00454,35,North,Premium,2,154.19,308.37,30.1,9,3,Card,Yes
C00455,62,West,Premium,43,105.86,4552.11,30.9,8,2,Wallet,No
C00456,73,East,Premium,40,111.24,4449.5,3.2,14,0,Wallet,Yes
C00457,24,West,Basic,11,106.1,1167.08,27.7,13,1,Card,Yes
C00458,72,North,Basic,46,121.99,5611.38,28.5,11,2,Bank,Yes
C00459,71,East,Plus,61,80.25,4895.14,41.4,11,2,Bank,No
C00460,26,East,Plus,8,33.63,269.05,65.0,10,0,Card,No
C00461,21,East,Plus,53,80.29,4255.12,40.6,15,0,Card,No
C00462,58,North,Premium,11,105.29,1158.23,26.4,13,0,Wallet,No
C00463,22,South,Plus,54,60.75,3280.77,44.0,13,2,Bank,Yes
C00464,52,South,Basic,31,80.59,2498.32,63.9,16,0,Card,No
C00465,21,East,Basic,1,67.71,67.71,27.4,10,1,Card,Yes
C00466,57,North,Basic,70,122.55,8578.55,28.6,13,1,Bank,No
C00467,31,South,Basic,12,103.74,1244.84,55.1,11,1,Wallet,No
C00468,23,East,Basic,43,101.29,4355.41,41.0,10,1,Bank,No
C00469,21,North,Premium,14,100.54,1407.56,56.7,16,1,Wallet,No
C00470,28,West,Plus,68,84.07,5716.68,44.8,13,5,Bank,Yes
C00471,48,East,Plus,54,89.94,4856.7,57.6,19,1,Wallet,No
C00472,22,North,Basic,58,55.37,3211.48,26.4,18,0,Wallet,No
C00473,63,North,Plus,32,30.34,970.85,44.8,15,4,Card,No
C00474,52,West,Premium,34,88.75,3017.57,41.2,12,2,Card,No
C00475,34,South,Premium,46,93.1,4282.59,23.1,10,2,Wallet,Yes
C00476,74,West,Plus,57,115.23,6568.2,16.9,13,5,Wallet,No
C00477,55,South,Premium,61,124.28,7581.29,57.3,4,1,Card,No
C00478,56,South,Plus,2,124.25,248.5,38.7,8,2,Bank,No
C00479,27,South,Plus,48,60.05,2882.37,26.6,12,2,Wallet,No
C00480,58,East,Premium,8,76.19,609.55,43.3,12,1,Wallet,No
C00481,49,North,Basic,21,97.01,2037.18,65.3,16,0,Card,No
C00482,74,South,Basic,60,148.3,8897.86,3.9,13,2,Wallet,No
C00483,45,South,Basic,19,122.0,2318.05,18.1,18,2,Bank,Yes
C00484,56,North,Plus,58,112.98,6553.13,28.4,12,1,Wallet,No
C00485,37,South,Plus,34,75.31,2560.38,71.3,9,1,Card,No
C00486,20,East,Plus,17,62.92,1069.64,50.1,6,0,Bank,Yes
C00487,25,East,Basic,25,104.72,2618.07,58.8,9,0,Card,No
C00488,67,North,Basic,39,57.48,2241.86,24.5,13,1,Bank,No
C00489,60,West,Premium,56,79.04,4426.19,24.8,19,1,Card,Yes
C00490,38,West,Basic,44,82.13,3613.74,53.1,11,1,Bank,No
C00491,57,East,Premium,68,124.82,8487.95,46.0,15,1,Wallet,No
C00492,18,West,Basic,63,76.13,4796.35,54.9,15,2,Bank,Yes
C00493,20,South,Plus,55,24.02,1321.03,41.6,10,0,Card,No
C00494,46,West,Plus,44,97.61,4294.89,50.0,13,2,Bank,No
C00495,53,East,Premium,21,67.52,1418.01,47.8,4,0,Bank,No
C00496,71,East,Basic,30,86.07,2581.97,59.0,4,4,Wallet,No
C00497,61,North,Premium,9,82.83,745.49,59.5,12,1,Card,No
C00498,32,East,Plus,27,78.16,2110.25,15.8,11,1,Card,No
C00499,64,West,Plus,67,104.76,7018.82,4.5,14,0,Bank,No
C00500,46,West,Plus,31,46.68,1447.03,63.0,16,1,Wallet,No
